zipcode	population	latitude	longitude	state	city	county	msa	cbsa	cbsa_name	msa_name	medicarecbsacode	medicarecbsaname
77289	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77290	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77291	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77292	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77293	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77297	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77299	0	29.7632	-95.3633	TX	HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77301	30769	30.303958	-95.431288	TX	CONROE	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77302	18118	30.223954	-95.365004	TX	CONROE	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77303	16710	30.381084	-95.374722	TX	CONROE	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77304	21314	30.321756	-95.52217	TX	CONROE	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77305	0	30.3117	-95.4559	TX	CONROE	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77306	11931	30.26713	-95.316686	TX	CONROE	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77315	0	29.9255	-95.5152	TX	NORTH HOUSTON	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77316	16036	30.311772	-95.674548	TX	MONTGOMERY	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77318	14281	30.438671	-95.540017	TX	WILLIS	MONTGOMERY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77320	33678	30.806067	-95.57809	TX	HUNTSVILLE	WALKER		26660	Huntsville, TX		99945	Rural Areas in TX
77325	0	29.9987	-95.2618	TX	KINGWOOD	HARRIS	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
77326	69	30.507737	-94.817998	TX	ACE	POLK					99945	Rural Areas in TX
77327	20160	30.297911	-94.905053	TX	CLEVELAND	LIBERTY	3362	26420	Houston-The Woodlands-Sugar Land, TX	Houston-Galveston-Brazoria, TX CMSA	26420	Houston-The Woodlands-Sugar Land, TX
